,0,1
0,00 change,8.98002359231
1,00 change correct,8.98002359231
2,00 message,8.98002359231
3,00 message said,8.98002359231
4,0020,8.98002359231
5,0029,8.98002359231
6,0029 just,8.98002359231
7,0029 just getting,8.98002359231
8,0065the,8.98002359231
9,0065the security,8.98002359231
10,0065the security protection,8.98002359231
11,01 0951,8.98002359231
12,01 0951 5165,8.98002359231
13,0113,8.5745584842
14,01142456871,8.98002359231
15,01142456871 ts,8.98002359231
16,01142456871 ts _end_,8.98002359231
17,012011,8.98002359231
18,012011 recognize,8.98002359231
19,012011 recognize ts,8.98002359231
20,02 2014debit,8.98002359231
21,02 2014debit purchase,8.98002359231
22,0295,8.98002359231
23,0295 30,8.98002359231
24,0295 30 items,8.98002359231
25,03 0633,8.98002359231
26,03 0633 add,8.98002359231
27,03 2014brokerage,8.98002359231
28,03 2014brokerage debit,8.98002359231
29,03 2014other,8.98002359231
30,03 2014other decrease,8.98002359231
31,0349,8.98002359231
32,0349 4054,8.98002359231
33,0349 4054 _end_,8.98002359231
34,04,7.88141130364
35,04 03,8.98002359231
36,04 03 2014other,8.98002359231
37,04 04,8.98002359231
38,04 04 2014account,8.98002359231
39,04 04 2014debit,8.98002359231
40,04 2014account,8.98002359231
41,04 2014account number,8.98002359231
42,04 2014debit,8.98002359231
43,04 2014debit purchase,8.98002359231
44,0429 8170bbvdiscountbooksalec,8.98002359231
45,0429 8170bbvdiscountbooksalec 866707585,8.98002359231
46,04th,8.98002359231
47,04th april,8.98002359231
48,04th april authorized,8.98002359231
49,05,8.5745584842
50,05 18,8.98002359231
51,05 18 94,8.98002359231
52,0552a,8.98002359231
53,0552a 0000,8.98002359231
54,0555,8.98002359231
55,0555 xxxxxxx,8.98002359231
56,0555 xxxxxxx tnk,8.98002359231
57,06,7.47594619553
58,06 26 2014,8.98002359231
59,06 28,8.98002359231
60,06 28 2014debit,8.98002359231
61,060,8.98002359231
62,060 xxxxxx,8.98002359231
63,060 xxxxxx tried,8.98002359231
64,0633,8.98002359231
65,0633 add,8.98002359231
66,0633 add 8667029283,8.98002359231
67,0634,8.98002359231
68,0634 xyziv,8.98002359231
69,0634 xyziv ft,8.98002359231
70,0634a,8.98002359231
71,0634a 6181at,8.98002359231
72,0634a 6181at 0634,8.98002359231
73,0636chase,8.98002359231
74,0636chase epay,8.98002359231
75,0636chase epay mobil,8.98002359231
76,0694,8.98002359231
77,0694 xxxxxxx,8.98002359231
78,0694 xxxxxxx thats,8.98002359231
79,072,8.98002359231
80,0727,8.98002359231
81,0727 2560,8.98002359231
82,0727 2560 grcperriconemd,8.98002359231
83,07478929900,8.98002359231
84,07478929900 _end_,8.98002359231
85,07478929900 _end_ ok,8.98002359231
86,07581297509,8.98002359231
87,07581297509 thanks,8.98002359231
88,07581297509 thanks _end_,8.98002359231
89,07926599598,8.98002359231
90,07926599598 debra,8.98002359231
91,07926599598 debra wilkes,8.98002359231
92,07982737250,8.98002359231
93,07982737250 _end_,8.98002359231
94,07982737250 _end_ saturday,8.98002359231
95,07982737250 thank,8.98002359231
96,0800,7.72726062382
97,0800 072,8.98002359231
98,0800 358,8.98002359231
99,0800 358 4559,8.98002359231
100,0800294314,8.98002359231
101,0800294314 dead,8.98002359231
102,0800294314 dead _end_,8.98002359231
103,0871,8.98002359231
104,0871 0873,8.98002359231
105,0871 0873 dont,8.98002359231
106,0873,8.98002359231
107,0873 dont,8.98002359231
108,0873 dont tnk,8.98002359231
109,09 02,8.98002359231
110,09 02 2014debit,8.98002359231
111,090914,8.98002359231
112,0931pm,8.98002359231
113,0951,8.98002359231
114,0951 5165,8.98002359231
115,0951 5165 air,8.98002359231
116,0955,8.98002359231
117,0955 black,8.98002359231
118,0955 black swimsuit,8.98002359231
119,0n,8.98002359231
120,0n 852014,8.98002359231
121,10,5.05805025603
122,10 05,8.98002359231
123,10 05 18,8.98002359231
124,10 11757,8.98002359231
125,10 11757 location,8.98002359231
126,10 addition,8.98002359231
127,10 addition getting,8.98002359231
128,10 bring,8.98002359231
